Fold,Algorithm,Classifier,Dataset,TransferFunction,Alpha,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures,BestSolution,Convergence,Run
1,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.09694616977225673,112.92499685287476,0.8985507246376812,0.10144927536231885,0.9666666666666667,0.9666666666666667,0.8461538461538461,0.8285714285714286,0.8923076923076924,0.8059611453467606,0.9064102564102564,"[[33,6],
 [1,29]]","[33, 6, 1, 29]","(2, 2)",1,[0 0 0 0 0 0 0 1 0 0 0 0 0 0],"[0.12587992 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992
 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992
 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992
 0.12587992 0.12587992 0.1060559  0.1060559  0.1060559  0.1060559
 0.1060559  0.1060559  0.09694617 0.09694617 0.09694617 0.09694617
 0.09694617 0.09694617 0.09694617 0.09694617 0.09694617 0.09694617
 0.09694617 0.09694617 0.09694617 0.09694617 0.09694617 0.09694617
 0.09694617 0.09694617 0.09694617 0.09694617 0.09694617 0.09694617
 0.09694617 0.09694617]",1
2,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.14301242236024847,108.24643206596375,0.8695652173913043,0.13043478260869568,0.8666666666666667,0.8666666666666667,0.8717948717948718,0.8387096774193549,0.8524590163934426,0.7359497572439373,0.8696581196581197,"[[34,5],
 [4,26]]","[34, 5, 4, 26]","(2, 2)",3,[0 0 0 1 0 0 0 1 0 1 0 0 0 0],"[0.18907867 0.18907867 0.18907867 0.18907867 0.18907867 0.18907867
 0.17996894 0.17996894 0.16604555 0.16604555 0.14301242 0.14301242
 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242
 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242
 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242
 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242
 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242
 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242 0.14301242
 0.14301242 0.14301242]",1
3,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.10284679089026919,123.97079014778137,0.8985507246376812,0.10144927536231885,0.8333333333333334,0.8333333333333334,0.9487179487179487,0.9259259259259259,0.8771929824561403,0.7943678079791173,0.9623931623931624,"[[37,2],
 [5,25]]","[37, 2, 5, 25]","(2, 2)",5,[0 0 0 1 1 1 0 1 0 0 0 0 1 0],"[0.1365942  0.1365942  0.1365942  0.12427536 0.12427536 0.12427536
 0.12427536 0.12427536 0.12427536 0.12427536 0.12427536 0.11356108
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.10284679 0.10284679]",1
4,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.12908902691511387,122.93119621276855,0.8985507246376812,0.10144927536231885,0.9032258064516129,0.9032258064516129,0.8947368421052632,0.875,0.8888888888888888,0.7959382157428756,0.911290322580645,"[[34,4],
 [3,28]]","[34, 4, 3, 28]","(2, 2)",4,[0 0 0 0 0 0 1 1 1 0 0 0 1 0],"[0.15372671 0.15212215 0.15212215 0.14140787 0.14140787 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903]",1
5,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.11677018633540379,124.33868503570557,0.8840579710144928,0.1159420289855072,0.967741935483871,0.967741935483871,0.8157894736842105,0.8108108108108109,0.8823529411764706,0.7815435884368874,0.9286926994906621,"[[31,7],
 [1,30]]","[31, 7, 1, 30]","(2, 2)",4,[0 0 1 0 0 0 0 1 1 0 0 0 1 0],"[0.17675983 0.16283644 0.16283644 0.16123188 0.16123188 0.16123188
 0.16123188 0.16123188 0.16123188 0.14301242 0.13069358 0.13069358
 0.13069358 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019
 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019
 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019
 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019
 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019
 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019 0.11677019
 0.11677019 0.11677019]",1
6,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.11997929606625256,110.40172076225281,0.8840579710144928,0.1159420289855072,0.8709677419354839,0.8709677419354839,0.8947368421052632,0.8709677419354839,0.8709677419354839,0.765704584040747,0.9269949066213923,"[[34,4],
 [4,27]]","[34, 4, 4, 27]","(2, 2)",2,[0 0 0 0 0 0 0 1 0 0 0 1 0 0],"[0.15962733 0.15962733 0.13980331 0.12908903 0.12748447 0.12748447
 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447
 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447
 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447
 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447 0.12748447
 0.12748447 0.12748447 0.12748447 0.1199793  0.1199793  0.1199793
 0.1199793  0.1199793  0.1199793  0.1199793  0.1199793  0.1199793
 0.1199793  0.1199793  0.1199793  0.1199793  0.1199793  0.1199793
 0.1199793  0.1199793 ]",1
7,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.1151656314699793,133.90167331695557,0.8695652173913043,0.13043478260869568,0.9032258064516129,0.9032258064516129,0.8421052631578947,0.8235294117647058,0.8615384615384616,0.7415635758808772,0.9333616298811546,"[[32,6],
 [3,28]]","[32, 6, 3, 28]","(2, 2)",5,[0 1 1 0 1 0 0 1 0 0 0 1 0 0],"[0.15854037 0.14140787 0.14140787 0.12908903 0.12748447 0.12748447
 0.12748447 0.12748447 0.12587992 0.12587992 0.12587992 0.12587992
 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992
 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992
 0.12587992 0.12587992 0.12587992 0.12587992 0.12587992 0.11516563
 0.11516563 0.11516563 0.11516563 0.11516563 0.11516563 0.11516563
 0.11516563 0.11516563 0.11516563 0.11516563 0.11516563 0.11516563
 0.11516563 0.11516563 0.11516563 0.11516563 0.11516563 0.11516563
 0.11516563 0.11516563]",1
8,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.12908902691511387,104.33425784111023,0.8985507246376812,0.10144927536231885,0.9032258064516129,0.9032258064516129,0.8947368421052632,0.875,0.8888888888888888,0.7959382157428756,0.9248726655348047,"[[34,4],
 [3,28]]","[34, 4, 3, 28]","(2, 2)",4,[0 1 1 0 0 0 0 1 1 0 0 0 0 0],"[0.16444099 0.16444099 0.1505176  0.14301242 0.14301242 0.14301242
 0.14301242 0.14301242 0.14301242 0.14301242 0.13390269 0.13390269
 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269
 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269
 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269
 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269 0.13390269
 0.13390269 0.13390269 0.13390269 0.13390269 0.12908903 0.12908903
 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903 0.12908903
 0.12908903 0.12908903]",1
9,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.10284679089026919,131.39268279075623,0.8985507246376812,0.10144927536231885,0.9354838709677419,0.9354838709677419,0.868421052631579,0.8529411764705882,0.8923076923076924,0.7998413512063675,0.9516129032258064,"[[33,5],
 [2,29]]","[33, 5, 2, 29]","(2, 2)",5,[1 0 1 0 0 0 0 1 1 0 0 0 1 0],"[0.16123188 0.14301242 0.12748447 0.12748447 0.12587992 0.11516563
 0.11516563 0.11516563 0.11516563 0.11516563 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679 0.10284679
 0.10284679 0.10284679]",1
10,bPSO-V1-RF-0_85,rf,australian,v1,0.85,0.10284679089026919,127.24933815002441,0.9130434782608695,0.08695652173913049,0.8709677419354839,0.8709677419354839,0.9473684210526315,0.9310344827586207,0.9,0.8246608817759593,0.9465195246179965,"[[36,2],
 [4,27]]","[36, 2, 4, 27]","(2, 2)",5,[0 0 0 0 0 0 0 1 0 1 0 1 1 1],"[0.12587992 0.12427536 0.12427536 0.12427536 0.11356108 0.11356108
 0.11356108 0.11356108 0.11356108 0.11356108 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652 0.11195652
 0.11195652 0.10284679]",1
