Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.695521,0.800000,0.200000,0.625000,0.625000,1.000000,1.000000,0.769231,0.661438,0.812500,"[[7,0],
 [3,5]]","[7, 0, 3, 5]","(2, 2)",3
2,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.745351,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.714286,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",3
3,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.966122,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.546061,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
5,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,2.050791,0.714286,0.285714,0.571429,0.571429,0.857143,0.800000,0.666667,0.447214,0.714286,"[[6,1],
 [3,4]]","[6, 1, 3, 4]","(2, 2)",2
6,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.070887,2.194305,0.642857,0.357143,0.714286,0.714286,0.571429,0.625000,0.666667,0.288675,0.642857,"[[4,3],
 [2,5]]","[4, 3, 2, 5]","(2, 2)",6
7,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069877,2.084013,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",4
8,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.136724,1.644916,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.785714,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",2
9,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069372,1.657867,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
10,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.736084,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[6,0],
 [0,8]]","[6, 0, 0, 8]","(2, 2)",3
