Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002020,121.950923,0.933333,0.066667,1.000000,1.000000,0.857143,0.888889,0.941176,0.872872,1.000000,"[[6,1],
 [0,8]]","[6, 1, 0, 8]","(2, 2)",4
2,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002020,98.267306,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
3,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.001010,80.156268,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
4,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.139250,110.343090,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.775510,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",7
5,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069372,98.356410,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.857143,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",3
6,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.137229,105.860755,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.816327,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",3
7,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.002525,112.575025,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,1.000000,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",5
8,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.069372,111.478740,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.959184,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",3
9,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.205592,101.692904,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.653061,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",4
10,bLRRIME-MLP,mlp,PulmonaryHypertension,v1,0.006061,126.027669,0.785714,0.214286,0.750000,0.750000,0.833333,0.857143,0.800000,0.577350,0.791667,"[[5,1],
 [2,6]]","[5, 1, 2, 6]","(2, 2)",12
