Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.001515,1.638376,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.204076,1.323689,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.857143,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",1
3,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.137229,1.542826,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.836735,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",3
4,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.001010,1.511698,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
5,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136724,1.458891,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.755102,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
6,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068867,1.433282,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.918367,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
7,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.000505,1.450681,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",1
8,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136724,1.384950,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.816327,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",2
9,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.001010,1.399209,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
10,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068867,1.579190,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.833333,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",2
