Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.003030,18.805587,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",6
2,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.136724,15.417489,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.979592,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
3,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.136724,16.718930,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.816327,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",2
4,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,16.580258,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
5,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001010,17.053691,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
6,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,16.440175,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.857143,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
7,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,17.494291,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
8,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.003030,18.424006,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",6
9,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,17.310819,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
10,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.068362,14.628850,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.937500,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",1
