Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.130202,1.774047,0.866667,0.133333,1.000000,1.000000,0.714286,0.800000,0.888889,0.755929,0.830357,"[[5,2],
 [0,8]]","[5, 2, 0, 8]","(2, 2)",7
2,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.003535,1.951524,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",7
3,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.002020,1.851365,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.000505,1.578489,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",1
5,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.002020,1.794965,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
6,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.002020,1.835308,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
7,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.136219,1.481854,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.918367,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",1
8,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.001010,1.618485,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",2
9,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.136219,1.351008,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.755102,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",1
10,bLRRIME-KNN,knn,PulmonaryHypertension,v1,0.137229,1.649810,0.857143,0.142857,1.000000,1.000000,0.666667,0.800000,0.888889,0.730297,0.708333,"[[4,2],
 [0,8]]","[4, 2, 0, 8]","(2, 2)",3
