Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.001515,1.559433,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.136219,1.338276,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.775510,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",1
3,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.002020,1.526863,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
4,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068867,1.515921,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.897959,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
5,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.272439,1.500674,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.734694,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",2
6,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.069877,1.715660,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.857143,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",4
7,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.204582,1.354802,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.918367,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",2
8,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.137229,1.435186,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.775510,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",3
9,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.068867,1.508005,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.877551,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
10,bLRRIME-SVM,svm,PulmonaryHypertension,v1,0.204582,1.523361,0.785714,0.214286,0.750000,0.750000,0.833333,0.857143,0.800000,0.577350,0.729167,"[[5,1],
 [2,6]]","[5, 1, 2, 6]","(2, 2)",2
