Algorithm,Fold,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50
bLRRIME-CART,1,0.148889,0.077980,0.077980,0.077980,0.076970,0.075455,0.010101,0.010101,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515
bLRRIME-CART,2,0.157937,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.140765,0.140765,0.140765,0.140765,0.140765,0.140765,0.140765,0.140765,0.140765,0.140765,0.140765,0.140765,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.069877,0.069877,0.069877,0.069877,0.002525,0.002525,0.002525,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020
bLRRIME-CART,3,0.086039,0.014646,0.014646,0.014646,0.014646,0.014646,0.014646,0.014646,0.004545,0.003535,0.003535,0.003535,0.003535,0.003535,0.003535,0.003535,0.003030,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525
bLRRIME-CART,4,0.224278,0.224278,0.224278,0.157937,0.157937,0.157937,0.157937,0.146320,0.146320,0.144805,0.144805,0.144805,0.144805,0.144805,0.077453,0.077453,0.077453,0.077453,0.077453,0.077453,0.076443,0.075938,0.075938,0.075938,0.075938,0.073918,0.073918,0.073918,0.071898,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887
bLRRIME-CART,5,0.090079,0.090079,0.006566,0.006566,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525
bLRRIME-CART,6,0.227814,0.214177,0.214177,0.214177,0.206097,0.138240,0.138240,0.138240,0.138240,0.138240,0.138240,0.138240,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.136724,0.136724,0.136724,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219,0.136219
bLRRIME-CART,7,0.093110,0.078968,0.078968,0.005051,0.005051,0.005051,0.005051,0.005051,0.005051,0.005051,0.004545,0.004545,0.004545,0.002525,0.002525,0.002525,0.002525,0.002525,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515
bLRRIME-CART,8,0.090584,0.090584,0.090584,0.090584,0.090584,0.087049,0.087049,0.084524,0.082504,0.080483,0.075938,0.075938,0.075938,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877
bLRRIME-CART,9,0.157937,0.154401,0.016162,0.016162,0.016162,0.016162,0.016162,0.008586,0.007071,0.007071,0.007071,0.007071,0.006566,0.003535,0.003535,0.003535,0.003535,0.003535,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030
bLRRIME-CART,10,0.155916,0.155916,0.146825,0.146825,0.079978,0.076443,0.073413,0.073413,0.073413,0.073413,0.073413,0.073413,0.073413,0.073413,0.073413,0.073413,0.072908,0.072908,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070382
