Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,80.141334,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.069877,92.139709,0.857143,0.142857,0.714286,0.714286,1.000000,1.000000,0.833333,0.745356,0.887755,"[[7,0],
 [2,5]]","[7, 0, 2, 5]","(2, 2)",4
3,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,88.589733,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,1.000000,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
4,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.136219,71.082411,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.744898,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",1
5,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.000505,81.619053,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",1
6,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.136724,79.659186,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.734694,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",2
7,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001010,86.972070,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.959184,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",2
8,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,86.693089,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.979592,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
9,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.001515,88.804930,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.969388,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",3
10,bLRRIME-RF,rf,PulmonaryHypertension,v1,0.069372,87.492160,0.928571,0.071429,0.875000,0.875000,1.000000,1.000000,0.933333,0.866025,0.895833,"[[6,0],
 [1,7]]","[6, 0, 1, 7]","(2, 2)",3
