Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.004545,2.320609,0.866667,0.133333,1.000000,1.000000,0.714286,0.800000,0.888889,0.755929,0.857143,"[[5,2],
 [0,8]]","[5, 2, 0, 8]","(2, 2)",9
2,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.068867,1.510654,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",2
3,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069372,1.907104,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.857143,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",3
4,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.003535,2.061529,0.857143,0.142857,1.000000,1.000000,0.714286,0.777778,0.875000,0.745356,0.857143,"[[5,2],
 [0,7]]","[5, 2, 0, 7]","(2, 2)",7
5,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.002020,1.907495,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
6,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.722215,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
7,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.001515,1.516527,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
8,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069372,1.782743,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.928571,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",3
9,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.004040,3.095484,0.785714,0.214286,1.000000,1.000000,0.571429,0.700000,0.823529,0.632456,0.785714,"[[4,3],
 [0,7]]","[4, 3, 0, 7]","(2, 2)",8
10,bLRRIME-CART,cart,PulmonaryHypertension,v1,0.069372,1.727371,0.785714,0.214286,0.875000,0.875000,0.666667,0.777778,0.823529,0.559431,0.770833,"[[4,2],
 [1,7]]","[4, 2, 1, 7]","(2, 2)",3
