Algorithm,Fold,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50
bLRRIME-XGBOOST,1,0.146364,0.082525,0.077980,0.077980,0.020707,0.020707,0.014646,0.014646,0.014646,0.014646,0.014646,0.014646,0.012121,0.012121,0.012121,0.012121,0.010101,0.009091,0.009091,0.009091,0.009091,0.008081,0.008081,0.008081,0.005556,0.005556,0.004545,0.004545,0.004545,0.004040,0.003030,0.003030,0.003030,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515
bLRRIME-XGBOOST,2,0.089574,0.087049,0.086039,0.084019,0.083514,0.016162,0.016162,0.016162,0.012626,0.012626,0.011616,0.011616,0.009596,0.009596,0.008586,0.007576,0.006061,0.006061,0.006061,0.006061,0.006061,0.006061,0.005051,0.005051,0.005051,0.004545,0.004545,0.004040,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020
bLRRIME-XGBOOST,3,0.089574,0.089574,0.087554,0.087554,0.087554,0.085029,0.016162,0.016162,0.016162,0.015152,0.015152,0.012121,0.011111,0.009091,0.007071,0.006061,0.006061,0.006061,0.005051,0.004040,0.004040,0.003535,0.003535,0.003535,0.003535,0.003030,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002020,0.002020,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515
bLRRIME-XGBOOST,4,0.155916,0.155916,0.155916,0.152381,0.152381,0.151876,0.148846,0.148341,0.145815,0.145310,0.145310,0.144805,0.143795,0.142785,0.141775,0.072908,0.072403,0.072403,0.072403,0.072403,0.071898,0.071898,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545,0.004545
bLRRIME-XGBOOST,5,0.155411,0.150866,0.150361,0.150361,0.085029,0.085029,0.085029,0.085029,0.083009,0.083009,0.082504,0.081999,0.081999,0.079473,0.079473,0.077453,0.077453,0.076948,0.075938,0.075433,0.073413,0.072403,0.072403,0.072403,0.072403,0.070382,0.070382,0.070382,0.069877,0.069877,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372
bLRRIME-XGBOOST,6,0.225794,0.225794,0.224278,0.221753,0.221248,0.218723,0.216198,0.216198,0.213672,0.147835,0.147835,0.147835,0.147835,0.147835,0.142280,0.142280,0.142280,0.142280,0.142280,0.142280,0.141270,0.140765,0.140765,0.140765,0.139755,0.139755,0.139250,0.138240,0.137229,0.137229,0.137229,0.137229,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724,0.136724
bLRRIME-XGBOOST,7,0.093615,0.093615,0.091595,0.086039,0.086039,0.085534,0.085534,0.084019,0.083009,0.083009,0.080483,0.078968,0.078968,0.077958,0.077453,0.076948,0.075433,0.074928,0.073413,0.073413,0.073413,0.072908,0.072908,0.072908,0.072908,0.072403,0.072403,0.071898,0.070887,0.070887,0.004040,0.004040,0.004040,0.004040,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030
bLRRIME-XGBOOST,8,0.155916,0.155411,0.155411,0.089574,0.089574,0.089574,0.087554,0.087049,0.084019,0.084019,0.080988,0.079473,0.079473,0.078463,0.078463,0.077453,0.077453,0.075938,0.075938,0.075433,0.074423,0.073413,0.071898,0.071898,0.071898,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382,0.070382
bLRRIME-XGBOOST,9,0.358983,0.292641,0.289105,0.287590,0.285065,0.285065,0.283045,0.282035,0.281025,0.279004,0.278499,0.209127,0.143795,0.143795,0.143795,0.140765,0.139755,0.139755,0.139250,0.138745,0.138240,0.138240,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734,0.137734
bLRRIME-XGBOOST,10,0.025758,0.025758,0.018687,0.018687,0.018687,0.018687,0.016667,0.016162,0.015657,0.012626,0.012626,0.010606,0.010606,0.010606,0.010606,0.007071,0.007071,0.006566,0.006566,0.006061,0.005556,0.004545,0.004040,0.004040,0.003535,0.003535,0.003030,0.003030,0.003030,0.003030,0.003030,0.002020,0.002020,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515
