Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,19.289756,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,8]]","[7, 0, 0, 8]","(2, 2)",3
2,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,19.152264,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
3,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069372,18.376003,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.857143,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",3
4,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,23.286981,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
5,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002020,21.877975,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",4
6,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.002525,20.133587,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",5
7,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.001515,19.949807,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",3
8,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.003030,19.793767,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",6
9,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069877,20.530220,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.938776,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",4
10,bLRRIME-XGBOOST,xgboost,PulmonaryHypertension,v1,0.069877,19.908206,0.928571,0.071429,1.000000,1.000000,0.833333,0.888889,0.941176,0.860663,0.916667,"[[5,1],
 [0,8]]","[5, 1, 0, 8]","(2, 2)",4
