Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000019,0.600000,0.400000,0.625000,0.625000,0.571429,0.625000,0.625000,0.196429,0.642857,"[[4,3],
 [3,5]]","[4, 3, 3, 5]","(2, 2)",99
2,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000029,0.714286,0.285714,0.714286,0.714286,0.714286,0.714286,0.714286,0.428571,0.775510,"[[5,2],
 [2,5]]","[5, 2, 2, 5]","(2, 2)",99
3,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000022,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.918367,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",99
4,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000034,0.500000,0.500000,0.428571,0.428571,0.571429,0.500000,0.461538,0.000000,0.673469,"[[4,3],
 [4,3]]","[4, 3, 4, 3]","(2, 2)",99
5,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000026,0.785714,0.214286,1.000000,1.000000,0.571429,0.700000,0.823529,0.632456,1.000000,"[[4,3],
 [0,7]]","[4, 3, 0, 7]","(2, 2)",99
6,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000029,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.897959,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",99
7,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000022,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.877551,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",99
8,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000020,0.714286,0.285714,0.857143,0.857143,0.571429,0.666667,0.750000,0.447214,0.795918,"[[4,3],
 [1,6]]","[4, 3, 1, 6]","(2, 2)",99
9,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000023,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.857143,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",99
10,XGBOOST,Conv_xgboost,PulmonaryHypertension,v1,0.000000,0.000031,0.571429,0.428571,0.625000,0.625000,0.500000,0.625000,0.625000,0.125000,0.687500,"[[3,3],
 [3,5]]","[3, 3, 3, 5]","(2, 2)",99
