Algorithm,Fold,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50
bLRRIME-XGBOOST,1,0.212727,0.209192,0.202121,0.198586,0.132727,0.132727,0.131717,0.131717,0.131717,0.130202,0.066364,0.066364,0.066364,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838,0.063838
bLRRIME-XGBOOST,2,0.092100,0.092100,0.077958,0.073918,0.072403,0.072403,0.072403,0.072403,0.071898,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.070887,0.004040,0.003535,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525
bLRRIME-XGBOOST,3,0.156421,0.077453,0.077453,0.074928,0.074928,0.071898,0.071898,0.005051,0.005051,0.005051,0.003535,0.003535,0.002020,0.002020,0.002020,0.001515,0.001515,0.001515,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010,0.001010
bLRRIME-XGBOOST,4,0.293651,0.227814,0.156926,0.156926,0.152381,0.152381,0.152381,0.152381,0.152381,0.152381,0.145310,0.143795,0.143795,0.143795,0.143795,0.138240,0.138240,0.138240,0.138240,0.138240,0.138240,0.138240,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392
bLRRIME-XGBOOST,5,0.088564,0.080483,0.013131,0.013131,0.008586,0.008586,0.008586,0.006061,0.006061,0.006061,0.006061,0.006061,0.005051,0.005051,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.004040,0.002525,0.002525,0.002525,0.002020,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515
bLRRIME-XGBOOST,6,0.221753,0.218723,0.146825,0.142785,0.141270,0.139755,0.139755,0.138745,0.137734,0.137229,0.137229,0.070382,0.070382,0.070382,0.070382,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.069877,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362,0.068362
bLRRIME-XGBOOST,7,0.222763,0.219733,0.151876,0.140765,0.140765,0.069877,0.069877,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.069372,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867,0.068867
bLRRIME-XGBOOST,8,0.223268,0.218723,0.213167,0.213167,0.210642,0.207107,0.207107,0.206097,0.138240,0.138240,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229,0.137229
bLRRIME-XGBOOST,9,0.022727,0.015657,0.015657,0.011616,0.007071,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.003030,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525,0.002525
bLRRIME-XGBOOST,10,0.087049,0.083514,0.079978,0.078968,0.076443,0.072403,0.072403,0.071898,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.071392,0.070887,0.070887,0.070887,0.070887,0.070887,0.070382,0.070382,0.070382,0.003030,0.003030,0.003030,0.002525,0.002525,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020,0.002020
