Algorithm,Fold,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50
bLRRIME-KNN,1,0.090606,0.090606,0.090606,0.090606,0.090606,0.090606,0.090606,0.090606,0.090606,0.090606,0.089596,0.089596,0.089596,0.089596,0.089596,0.089596,0.089596,0.089596,0.089596,0.089596,0.089091,0.089091,0.089091,0.089091,0.088081,0.088081,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556,0.085556
bLRRIME-KNN,2,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.093110,0.092100,0.092100,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069,0.089069
bLRRIME-KNN,3,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.088564,0.087049,0.087049,0.087049,0.087049,0.087049,0.087049,0.087049,0.087049,0.087049,0.087049,0.087049,0.087049
bLRRIME-KNN,4,0.228824,0.228824,0.165007,0.165007,0.165007,0.165007,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967,0.160967
bLRRIME-KNN,5,0.234380,0.231854,0.231854,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.228824,0.164502,0.164502,0.164502,0.164502,0.164502,0.164502,0.164502,0.164502,0.164502,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987,0.162987
bLRRIME-KNN,6,0.366053,0.366053,0.366053,0.366053,0.300216,0.300216,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.231349,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319,0.228319
bLRRIME-KNN,7,0.294661,0.294661,0.294661,0.294661,0.294661,0.294661,0.294661,0.294661,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329,0.229329
bLRRIME-KNN,8,0.226299,0.226299,0.226299,0.226299,0.226299,0.226299,0.165007,0.165007,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906,0.154906
bLRRIME-KNN,9,0.291126,0.291126,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.231854,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309,0.227309
bLRRIME-KNN,10,0.166522,0.166522,0.163492,0.162482,0.161977,0.161977,0.161977,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.095130,0.094625,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089,0.091089
