Fold,Algorithm,Classifier,Dataset,TransferFunction,BestFitness,Time,Accuracy,Error,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC,ConfusionMatrix,ConfusionMatrix_Flat,ConfusionMatrix_Shape,NumFeatures
1,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.152929,1.904747,0.866667,0.133333,1.000000,1.000000,0.714286,0.800000,0.888889,0.755929,0.866071,"[[5,2],
 [0,8]]","[5, 2, 0, 8]","(2, 2)",52
2,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.091089,1.903353,0.928571,0.071429,0.857143,0.857143,1.000000,1.000000,0.923077,0.866025,0.867347,"[[7,0],
 [1,6]]","[7, 0, 1, 6]","(2, 2)",46
3,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.157431,1.853629,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.816327,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",43
4,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.089574,1.917650,0.928571,0.071429,1.000000,1.000000,0.857143,0.875000,0.933333,0.866025,0.928571,"[[6,1],
 [0,7]]","[6, 1, 0, 7]","(2, 2)",43
5,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.157431,1.907525,0.857143,0.142857,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.846939,"[[6,1],
 [1,6]]","[6, 1, 1, 6]","(2, 2)",43
6,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.021212,1.882893,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,"[[7,0],
 [0,7]]","[7, 0, 0, 7]","(2, 2)",42
7,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.222258,1.893252,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.846939,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",37
8,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.226804,2.058419,0.785714,0.214286,0.714286,0.714286,0.857143,0.833333,0.769231,0.577350,0.846939,"[[6,1],
 [2,5]]","[6, 1, 2, 5]","(2, 2)",46
9,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.223773,1.959800,0.785714,0.214286,0.857143,0.857143,0.714286,0.750000,0.800000,0.577350,0.826531,"[[5,2],
 [1,6]]","[5, 2, 1, 6]","(2, 2)",40
10,bLRRIME-KNN,knn,PulmonaryHypertension,s4,0.155916,1.898741,0.857143,0.142857,1.000000,1.000000,0.666667,0.800000,0.888889,0.730297,0.739583,"[[4,2],
 [0,8]]","[4, 2, 0, 8]","(2, 2)",40
