Fold,Algorithm,Classifier,TransferFunction,BestFitness,Accuracy,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC
1,bLRRIME-KNN-s1,knn,s1,0.085555556,0.933333333,1,1,0.857142857,0.888888889,0.941176471,0.872871561,0.964285714
2,bLRRIME-KNN-s1,knn,s1,0.090079365,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.897959184
3,bLRRIME-KNN-s1,knn,s1,0.089069264,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.989795918
4,bLRRIME-KNN-s1,knn,s1,0.16046176,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.928571429
5,bLRRIME-KNN-s1,knn,s1,0.15995671,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.785714286
6,bLRRIME-KNN-s1,knn,s1,0.296176046,0.714285714,0.857142857,0.857142857,0.571428571,0.666666667,0.75,0.447213595,0.683673469
7,bLRRIME-KNN-s1,knn,s1,0.229329004,0.785714286,0.714285714,0.714285714,0.857142857,0.833333333,0.769230769,0.577350269,0.857142857
8,bLRRIME-KNN-s1,knn,s1,0.157431457,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.857142857
9,bLRRIME-KNN-s1,knn,s1,0.228823954,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.673469388
10,bLRRIME-KNN-s1,knn,s1,0.089069264,0.928571429,1,1,0.833333333,0.888888889,0.941176471,0.860662966,0.958333333
1,bLRRIME-KNN-s2,knn,s2,0.085555556,0.933333333,1,1,0.857142857,0.888888889,0.941176471,0.872871561,0.955357143
2,bLRRIME-KNN-s2,knn,s2,0.089069264,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.908163265
3,bLRRIME-KNN-s2,knn,s2,0.087049062,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.908163265
4,bLRRIME-KNN-s2,knn,s2,0.160966811,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.93877551
5,bLRRIME-KNN-s2,knn,s2,0.162987013,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.867346939
6,bLRRIME-KNN-s2,knn,s2,0.228318903,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.693877551
7,bLRRIME-KNN-s2,knn,s2,0.229329004,0.785714286,0.571428571,0.571428571,1,1,0.727272727,0.632455532,0.87755102
8,bLRRIME-KNN-s2,knn,s2,0.154906205,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.806122449
9,bLRRIME-KNN-s2,knn,s2,0.227308802,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.755102041
10,bLRRIME-KNN-s2,knn,s2,0.091089466,0.928571429,1,1,0.833333333,0.888888889,0.941176471,0.860662966,0.96875
1,bLRRIME-KNN-s3,knn,s3,0.084545455,0.933333333,1,1,0.857142857,0.888888889,0.941176471,0.872871561,0.955357143
2,bLRRIME-KNN-s3,knn,s3,0.091594517,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.897959184
3,bLRRIME-KNN-s3,knn,s3,0.087049062,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.969387755
